time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/n_updates,train/loss,train/clip_range,train/approx_kl,train/value_loss,train/entropy_loss,train/learning_rate
52,850,22,45056,-0.004847620782675222,0.7631151,0.08974609375,210,-0.01161283440887928,0.2,0.00687028,0.008851888739445712,-0.831916974671185,0.0003
55,850,23,47104,-0.019796652166405693,0.53479767,0.194873046875,220,-0.04936174303293228,0.2,0.01731567,0.007881384105712642,-0.8793773837387562,0.0003
57,850,24,49152,-0.019268294381618034,0.6711893,0.157763671875,230,-0.053950097411870956,0.2,0.011889426,0.009637587663019077,-0.80371871329844,0.0003
60,849,25,51200,-0.003379871121433098,0.84033465,0.11064453125,240,-0.016759373247623444,0.2,0.011954938,0.008539172165910713,-0.7950018351897598,0.0003
62,849,26,53248,-0.010508341356762685,0.8530829,0.172509765625,250,-0.008990300819277763,0.2,0.027902262,0.005235614942648681,-0.9433494383469224,0.0003
65,848,27,55296,-0.012285525703191524,0.741322,0.198486328125,260,-0.0606532096862793,0.2,0.012256426,0.005300198394979816,-0.9047753861173987,0.0003
67,847,28,57344,-0.006601096550002694,0.86730695,0.1337890625,270,0.011172400787472725,0.2,0.013856275,0.006462249753531069,-0.8132582288235426,0.0003
70,848,29,59392,-0.02110077004908817,0.8217785,0.207861328125,280,-0.03444187343120575,0.2,0.040057488,0.0075621633761329575,-0.6468296205624938,0.0003
72,847,30,61440,-0.009274966712109745,0.60552907,0.123779296875,290,-0.03980926424264908,0.2,0.034491226,0.0036651798774983034,-0.7306058496236801,0.0003
74,847,31,63488,-0.01664126247196691,0.87626296,0.174462890625,300,-0.04285874962806702,0.2,0.02981341,0.007443268178030848,-0.6778848307207227,0.0003
77,847,32,65536,-0.010064449523633811,0.78894514,0.132861328125,310,-0.028907131403684616,0.2,0.020554323,0.01024778011633316,-0.5782489411532878,0.0003
79,847,33,67584,-0.00811153131799074,0.74298674,0.132861328125,320,-0.026275597512722015,0.2,0.009683375,0.00636515153964865,-0.7298913756385446,0.0003
82,847,34,69632,-0.008717501928913407,0.826285,0.145361328125,330,-0.021790774539113045,0.2,0.01473631,0.00938087716640439,-0.7376087719574571,0.0003
84,846,35,71680,-0.008359595650836127,0.84966666,0.128759765625,340,-0.03677872195839882,0.2,0.013830112,0.007874588044069241,-0.718619698472321,0.0003
87,846,36,73728,-0.005933187688060571,0.7359532,0.140185546875,350,-0.03500755876302719,0.2,0.017713668,0.006711004767566919,-0.7463201766833663,0.0003
89,846,37,75776,-0.00718382224731613,0.6914105,0.173095703125,360,-0.028384514153003693,0.2,0.015598885,0.005346611871209462,-0.8203807894140482,0.0003
91,847,38,77824,-0.008162240489036776,0.83814204,0.1357421875,370,-0.021911388263106346,0.2,0.011466006,0.008400605061615352,-0.7500387018546462,0.0003
94,846,39,79872,-0.013286883295222651,0.74352425,0.182177734375,380,-0.027306271716952324,0.2,0.015435195,0.007938843143347186,-0.7042410280555487,0.0003
