time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/policy_gradient_loss,train/clip_range,train/n_updates,train/approx_kl,train/value_loss,train/loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/learning_rate
886,21,43008,48,-0.002716775670705829,0.2,200,0.007794532,0.00039869774175258497,-0.011538301594555378,-1.4418666273355485,0.080712890625,0.7654393,0.0003
886,22,45056,50,-0.005611348847014597,0.2,210,0.013259147,0.0007418415818847279,-0.021824661642313004,-1.389492692425847,0.107080078125,0.849505,0.0003
887,23,47104,53,-0.005400922901753802,0.2,220,0.009916049,0.00040040933820364446,0.024952923879027367,-1.4378227453678847,0.0861328125,0.9456403,0.0003
883,24,49152,55,-0.0031907189710182137,0.2,230,0.008012913,0.00037540636994890517,-0.02725057303905487,-1.4194421552121639,0.0451171875,0.91003335,0.0003
882,25,51200,57,-0.006870865326345665,0.2,240,0.0070853587,0.0021690186076739337,-0.043102607131004333,-1.383142700791359,0.078857421875,0.8704246,0.0003
878,26,53248,60,-0.007496651928522624,0.2,250,0.012084402,0.00033159247808498547,-0.05972287803888321,-1.3950807217508554,0.13916015625,0.8132708,0.0003
880,27,55296,62,-0.005420358929404756,0.2,260,0.011271956,0.0011626391597928886,-0.03823908790946007,-1.4293246421962977,0.112841796875,0.85645086,0.0003
881,28,57344,65,-0.007813918998726877,0.2,270,0.021713708,0.001132884675052992,-0.009232875891029835,-1.4456779714673758,0.150830078125,0.9026691,0.0003
882,29,59392,67,-0.003920315324648982,0.2,280,0.010938201,0.0011565253523258435,-0.018151096999645233,-1.3870176903903484,0.089306640625,0.89922583,0.0003
883,30,61440,69,-0.007212913005787414,0.2,290,0.010963611,0.000566743615240739,-0.016398530453443527,-1.3729026272892952,0.088671875,0.7576884,0.0003
878,31,63488,72,-0.004586367990123108,0.2,300,0.007735491,0.010599210888813104,-0.002940000267699361,-1.3889754716306926,0.062060546875,0.6055,0.0003
875,32,65536,74,-0.004208085940626915,0.2,310,0.0078071994,0.0122396474596826,-0.018886500969529152,-1.3390835009515285,0.0814453125,0.91279805,0.0003
873,33,67584,77,-0.008139781301724724,0.2,320,0.01661015,0.00261082548122431,-0.03481500968337059,-1.432469518110156,0.117529296875,0.8630079,0.0003
869,34,69632,80,-0.007195352073176764,0.2,330,0.010838086,0.01822696431008808,0.0020375680178403854,-1.4357903588563203,0.119775390625,0.91537905,0.0003
871,35,71680,82,-0.004002703178412048,0.2,340,0.0107045565,0.004192787516876706,-0.02318938449025154,-1.421686176583171,0.0828125,0.8939725,0.0003
872,36,73728,84,-0.0040566536801634355,0.2,350,0.017999649,0.0006607341609196737,-0.043551474809646606,-1.4274518776685,0.114794921875,0.58322656,0.0003
874,37,75776,86,-0.006282945079510683,0.2,360,0.008922903,0.00993121236206207,-0.02908363938331604,-1.4046868447214365,0.07041015625,0.93170595,0.0003
875,38,77824,88,-0.009930789886129786,0.2,370,0.020133153,0.0018103139156664839,0.04143248125910759,-1.413978521153331,0.18544921875,0.6971636,0.0003
876,39,79872,91,-0.008406109124189242,0.2,380,0.011108233,0.001239266435868558,-0.005077023524791002,-1.414600258693099,0.121826171875,0.5264138,0.0003
878,40,81920,93,-0.005847873639140744,0.2,390,0.0074154288,0.012298128411202924,-0.014661014080047607,-1.269100658968091,0.0701171875,0.8788352,0.0003
